ProfileId;PlayerSessionId;Sequence;ServerTimestamp;CountryCode;mode;Contextcontroller;mapTitle;mapChoreo;mapOrigin;mapPlayerNbStart;mapPlayerNbEnd;mapScore;MapTime;mapIsComplete;totalDanceTime;totalMapPlayed;totalPlaytime
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;73;2016-10-20 17:59:17.000;CZ;JustDance;Camera;PoPiPo;MAIN;Disc;2;2;0;4;0;561;5;3835
3f6d4150-1c25-4256-b80a-74232db7c9d6;3003e92c-af77-4c6c-bc2a-f998aaeaaf33;31;2016-10-20 18:20:12.000;PL;JustDance;Camera;CheapThrills;MAIN;Disc;1;2;0;221;1;434;2;855
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;50;2016-10-20 17:49:43.000;CZ;JDMachine;Camera;JDMMetalGuitar;MAIN;Disc;2;2;0;191;1;369;2;3267
0dd22982-b456-49e1-9bd2-4133ab5d7e63;f7cc356e-ee45-402e-8f72-e9e860bee4ab;30;2016-10-20 18:15:40.000;FR;JustDance;Camera;Natoo;MAIN;JDU;0;0;0;198;1;580;3;1260
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;124;2016-10-20 18:27:57.000;CZ;JustDance;Camera;WhatIsLove;MAIN;Disc;1;1;8929;205;1;1477;12;5565
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;126;2016-10-20 18:29:28.000;CZ;JustDance;Camera;DragosteaDinTei;MAIN;Disc;1;1;0;29;0;1506;13;5669
0dd22982-b456-49e1-9bd2-4133ab5d7e63;f7cc356e-ee45-402e-8f72-e9e860bee4ab;38;2016-10-20 18:26:45.000;FR;JustDance;Camera;BlackMamba;MAIN;JDU;0;0;0;210;1;790;4;1938
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;31;2016-10-20 17:43:40.000;CZ;JustDance;Camera;LeanOn;MAIN;Disc;1;2;11588;178;1;178;1;2908
0dd22982-b456-49e1-9bd2-4133ab5d7e63;f7cc356e-ee45-402e-8f72-e9e860bee4ab;14;2016-10-20 18:02:05.000;FR;JustDance;Camera;OnaTanczyDlaMnie;MAIN;JDU;0;0;0;172;1;172;1;456
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;81;2016-10-20 18:02:48.000;CZ;JustDance;Camera;PoPiPo;MAIN;Disc;2;2;11790;182;1;743;6;4053
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;86;2016-10-20 18:04:49.000;CZ;JustDance;Camera;WhatIsLove;MAIN;Disc;0;0;0;3;0;746;7;4172
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;87;2016-10-20 18:06:20.000;CZ;JustDance;Camera;WhatIsLove;MAIN;Disc;2;2;0;33;0;779;8;4279
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;60;2016-10-20 17:51:44.000;CZ;JustDance;Camera;AllAboutUs;MAIN;Disc;1;1;0;15;0;488;3;3389
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;62;2016-10-20 17:53:15.000;CZ;JustDance;Camera;AllAboutUs;MAIN;Disc;1;1;0;68;0;556;4;3479
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;66;2016-10-20 17:57:16.000;CZ;JustDance;Camera;BlackMamba;MAIN;JDU;1;1;0;147;2;703;5;3720
3f6d4150-1c25-4256-b80a-74232db7c9d6;3003e92c-af77-4c6c-bc2a-f998aaeaaf33;23;2016-10-20 18:14:40.000;PL;JustDance;Camera;CantFeelMyFace;MAIN;Disc;1;2;0;213;1;213;1;535
0dd22982-b456-49e1-9bd2-4133ab5d7e63;f7cc356e-ee45-402e-8f72-e9e860bee4ab;21;2016-10-20 18:08:07.000;FR;JustDance;Camera;Imya505;MAIN;JDU;0;0;0;208;1;381;2;807
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;111;2016-10-20 18:16:53.000;CZ;JustDance;Camera;DontStopMe;ALT;DiscUnlock;1;1;5544;208;1;1183;10;4888
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;116;2016-10-20 18:20:25.000;CZ;JustDance;Camera;Ulibayssia;MAIN;JDU;2;2;0;88;0;1271;11;5109
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;99;2016-10-20 18:10:51.000;CZ;JustDance;Camera;Oishii;MAIN;Disc;2;3;10793;194;1;974;9;4551
3f6d4150-1c25-4256-b80a-74232db7c9d6;3003e92c-af77-4c6c-bc2a-f998aaeaaf33;38;2016-10-20 18:38:46.000;PL;JustDance;Camera;OnaTanczyDlaMnie;MAIN;JDU;0;2;0;172;1;607;3;1984
3f6d4150-1c25-4256-b80a-74232db7c9d6;3003e92c-af77-4c6c-bc2a-f998aaeaaf33;46;2016-10-20 18:44:48.000;PL;JustDance;Camera;GhostInTheKeys;MAIN;Disc;1;2;0;207;1;814;4;2354
088c7b79-2bc2-41ec-9036-c3e16b3cb0f2;99deeec5-f200-48e6-94db-e0d2232e143a;24;2016-10-20 18:33:20.000;FR;WorldDanceFloor;MotionController;DontStopMe;ALT;DiscUnlock;1;1;0;185;1;442;2;1706
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;135;2016-10-20 18:34:30.000;CZ;JustDance;Camera;RedMangoose;MAIN;Disc;1;2;10975;218;1;1724;14;5948
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;145;2016-10-20 18:38:02.000;CZ;JustDance;Camera;CheapThrills;MAIN;Disc;1;2;0;20;0;1745;15;6181
cccd49f9-3762-4464-9d01-69f6e8ce05bf;d2403139-7bf0-48be-98a9-cbe73f448413;154;2016-10-20 18:44:33.000;CZ;JustDance;Camera;Radical;MAIN;Disc;1;2;10971;198;1;1943;16;6550
64f8a3b6-2534-4bc4-b43a-6a2645bbadbc;1cbc481e-da7d-49e5-88de-197d610a3396;29;2016-10-20 19:11:15.000;FR;JustDance;MotionController;Natoo;MAIN;JDU;2;2;4520;198;1;198;1;555
64f8a3b6-2534-4bc4-b43a-6a2645bbadbc;1cbc481e-da7d-49e5-88de-197d610a3396;36;2016-10-20 19:17:18.000;FR;JustDance;MotionController;NaeNae;MAIN;Disc;2;2;6494;182;1;381;2;918
64f8a3b6-2534-4bc4-b43a-6a2645bbadbc;1cbc481e-da7d-49e5-88de-197d610a3396;45;2016-10-20 19:22:50.000;FR;JustDance;MotionController;BlackMamba;MAIN;JDU;2;2;7666;215;1;596;3;1272
64f8a3b6-2534-4bc4-b43a-6a2645bbadbc;1cbc481e-da7d-49e5-88de-197d610a3396;53;2016-10-20 19:27:22.000;FR;JustDance;MotionController;Bonbon;MAIN;Disc;2;2;6491;167;1;764;4;1526
64f8a3b6-2534-4bc4-b43a-6a2645bbadbc;1cbc481e-da7d-49e5-88de-197d610a3396;59;2016-10-20 19:33:24.000;FR;JustDance;MotionController;DragosteaDinTei;MAIN;Disc;2;2;6174;218;1;982;5;1884
64f8a3b6-2534-4bc4-b43a-6a2645bbadbc;1cbc481e-da7d-49e5-88de-197d610a3396;69;2016-10-20 19:37:56.000;FR;JustDance;MotionController;ElTiki;MAIN;Disc;2;2;8778;183;1;1166;6;2149
64f8a3b6-2534-4bc4-b43a-6a2645bbadbc;1cbc481e-da7d-49e5-88de-197d610a3396;74;2016-10-20 19:43:28.000;FR;JustDance;MotionController;AllAboutUs;MAIN;Disc;2;2;5488;225;1;1392;7;2493
3f6d4150-1c25-4256-b80a-74232db7c9d6;3003e92c-af77-4c6c-bc2a-f998aaeaaf33;102;2016-10-20 19:43:32.000;PL;JustDance;Camera;Americano;FAN;JDU;2;2;0;184;1;2527;13;5859
2ed6ee20-2a70-42ab-94b6-0730b23d1503;baee49d4-36e1-4a88-834d-65ef586e7e31;32;2016-10-21 10:02:53.000;IN;WorldDanceFloor;MotionController;Sorry;ALT;DiscUnlock;1;1;267;55;1;55;1;2571
2ed6ee20-2a70-42ab-94b6-0730b23d1503;baee49d4-36e1-4a88-834d-65ef586e7e31;37;2016-10-21 10:07:59.000;IN;WorldDanceFloor;MotionController;DontStopMe;MAIN;Disc;1;1;6958;251;1;361;2;2877
2ed6ee20-2a70-42ab-94b6-0730b23d1503;baee49d4-36e1-4a88-834d-65ef586e7e31;40;2016-10-21 10:12:02.000;IN;WorldDanceFloor;MotionController;LittleSwing;MAIN;Disc;1;1;1521;204;1;620;3;3136
2ed6ee20-2a70-42ab-94b6-0730b23d1503;baee49d4-36e1-4a88-834d-65ef586e7e31;47;2016-10-21 10:16:38.000;IN;WorldDanceFloor;MotionController;OnaTanczyDlaMnie;MAIN;JDU;1;1;0;212;1;893;4;3410
2ed6ee20-2a70-42ab-94b6-0730b23d1503;baee49d4-36e1-4a88-834d-65ef586e7e31;52;2016-10-21 10:22:11.000;IN;WorldDanceFloor;MotionController;ScreamNShout;MAIN;Disc;1;1;0;300;1;1218;5;3734
